OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,OPERATIONALSTATUS,CAPACITYKV,STATE,SPATIALCONFIDENCE,REVISED,LENGTH_M,SHAPE_Length,From,To,from_suburb,to_suburb
549,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,45184.44914,0.424491689,Yass,Canberra,yass,canberra
550,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,98806.30175,1.01094175,Lower Tumut,Canberra,tumut,canberra
551,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,100725.9112,0.985592961,Upper Tumut,Canberra,tumut,canberra
552,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,Australian Capital Territory,5,1/08/2013 0:00,14926.18604,0.142286008,Canberra,Woden,canberra,woden
553,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,Australian Capital Territory,5,10/07/2012 0:00,5437.295681,0.055113429,Canberra,Latham,canberra,latham
555,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,51505.56531,0.505483202,Canberra,Queanbeyan,canberra,queanbeyan
556,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,53880.21096,0.532286972,Canberra,Queanbeyan (North East),canberra,queanbeyan
558,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,114175.7353,1.219051614,Yass,Marulan,yass,marulan
559,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,3,10/07/2012 0:00,47108.44715,0.508427422,Yass,Cullerin Range Tee,yass,cullerin
560,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,118074.0122,1.250663625,Yass,Marulan (South),yass,marulan
562,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,59099.84699,0.538604787,Wellington Town,Molong,wellington,molong
563,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,3,10/07/2012 0:00,143262.6996,1.452939157,Moree,Inverell,moree,inverell
565,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,4,10/07/2012 0:00,53570.72686,0.516400716,Mudgee Tee,Ilford Tee,mudgee,ilford
567,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,109091.5915,1.112470691,Yanco,Uranquinty,yanco,uranquinty
569,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,8641.201408,0.092270943,Penrith,Warrimoo,penrith,warrimoo
570,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,12274.75615,0.115329338,Regentville,Warragamba,regentville,warragamba
572,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,4,6/08/2013 0:00,8265.290336,0.083301179,Vineyard,Rouse Hill,vineyard,rouse hill
573,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,68289.67107,0.638644008,Sydney South,Dapto,sydney south,dapto
574,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,7457.328898,0.079363309,Carlingford,Baulkham Hills,carlingford,baulkham hills
575,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,9973.486904,0.10587985,Mount Druitt,Penrith (North),mount druitt,penrith
576,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,10118.66486,0.107156087,Mount Druitt,Penrith,mount druitt,penrith
577,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,26875.3519,0.284427582,Penrith,Lawson,penrith,lawson
578,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,39725.27807,0.388050111,Wallerawang,Katoomba North Tee,wallerawang,katoomba
579,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,6417.045637,0.063020256,Penrith,Regentville,penrith,regentville
580,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,7550.218989,0.072717022,Mount Druitt,Sydney West,mount druitt,sydney
582,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,20866.53608,0.197644611,Vineyard,Sydney West,vineyard,sydney
583,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,109110.6857,1.081130639,Eraring,Vineyard,eraring,vineyard
585,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,17123.47617,0.183298359,Regentville,Sydney West,regentville,sydney
586,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,171277.9172,1.598017394,Bayswater,Regentville,bayswater,regentville
587,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,188332.6033,1.780750027,Bayswater,Sydney West,bayswater,sydney
588,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,16881.95017,0.16314122,Sydney West,Liverpool,sydney,liverpool
589,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,33539.39998,0.338076294,Sydney West,Sydney North,sydney,sydney
590,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,4,10/07/2012 0:00,50830.17714,0.502226813,Kemps Creek,Sydney North,kemps creek,sydney
592,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,24500.17533,0.250446301,Kemps Creek,Sydney South,kemps creek,sydney south
593,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,3,10/07/2012 0:00,22086.47061,0.202660534,Kemps Creek,Macarthur,kemps creek,macarthur
595,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,15684.35073,0.14942215,Sydney West,West Liverpool,sydney,liverpool
596,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,608.753217,0.006425466,West Liverpool,Liverpool (South),liverpool,liverpool
598,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,10321.64928,0.104347238,Carlingford,West Castle Hill,carlingford,castle hill
599,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,652.2444,0.006821741,West Liverpool,Liverpool (North),liverpool,liverpool
600,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,17646.81571,0.180881811,Liverpool,Sydney South,liverpool,sydney south
601,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,21297.9424,0.216214309,Sydney South,Ingleburn,sydney south,ingleburn
602,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,122084.6036,1.216021805,Ingleburn,Wallerawang,ingleburn,wallerawang
604,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,119750.564,1.106717264,Cowra,Yass,cowra,yass
605,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,72289.70756,0.742719169,Murrumburrah,Yass,murrumburrah,yass
606,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,114863.7563,1.045318127,Cowra,Yass (East),cowra,yass
607,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,88665.59494,0.882918099,Cowra,Forbes,cowra,forbes
608,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,45546.54319,0.448601564,Yanco,Griffith,yanco,griffith
609,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,59443.24059,0.575085313,Griffith,Darlington Point,griffith,darlington point
611,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,3,17/01/2013 0:00,169135.9238,1.812182822,Uranquinty,Finley,uranquinty,finley
612,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,4,10/07/2012 0:00,31054.11352,0.292185184,Mudgee Tee,Beryl,mudgee,beryl
613,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,4,10/07/2012 0:00,66343.61224,0.665286462,Wallerawang,Oberon,wallerawang,oberon
614,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,30491.14857,0.279447498,Forbes,Parkes,forbes,parkes
615,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,4,10/07/2012 0:00,115728.7114,1.155941292,Wellington,Parkes,wellington,parkes
618,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,37579.78709,0.397743961,Yanco,Darlington Point,yanco,darlington point
619,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,13475.41761,0.130647106,Coleambally,Darlington Point,coleambally,darlington point
620,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,220,New South Wales,4,10/07/2012 0:00,249890.8193,2.673373625,Darlington Point,Balranald,darlington point,balranald
621,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,37407.58146,0.38767655,Burrinjuck,Yass,burrinjuck,yass
622,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,103086.6581,1.018087253,Liddell,Newcastle,liddell,newcastle
624,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,3,10/07/2012 0:00,41129.3966,0.373778522,Macarthur,Avon,macarthur,avon
625,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,3,10/07/2012 0:00,98794.40337,0.947981076,Narrabri,Gunnedah,narrabri,gunnedah
626,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,52357.28362,0.542010513,Wellington,Beryl,wellington,beryl
627,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,4,10/07/2012 0:00,35376.83561,0.369198628,Goulburn,Marulan,goulburn,marulan
628,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,4,6/09/2013 0:00,54177.71419,0.501296928,Narrabri,Moree (South),narrabri,moree
629,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,3,10/07/2012 0:00,177054.4674,1.737377604,Narrabri,Tamworth,narrabri,tamworth
630,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,8196.807245,0.086671622,"Tumut ",Gadara,tumut,gadara
631,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,13366.14585,0.127706123,Blowering,"Tumut ",blowering,tumut
634,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,5277.907987,0.051182844,"Tumut ",Upper Tumut (East),tumut,tumut
635,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,3957.128962,0.03829722,"Tumut ",Upper Tumut (North East),tumut,tumut
636,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,5041.117183,0.048281573,"Tumut ",Upper Tumut,tumut,tumut
637,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,45808.11066,0.447680427,Upper Tumut,Murray,tumut,murray
638,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,40793.86282,0.390337863,Lower Tumut,Upper Tumut,tumut,tumut
639,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,73130.7719,0.67695695,Lower Tumut,Murray,tumut,murray
640,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,3830.72711,0.036600264,"Tumut ",Upper Tumut,tumut,tumut
641,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,643.793473,0.006158738,"Tumut ",Lower Tumut (East),tumut,tumut
642,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,609.4551,0.005802736,"Tumut ",Lower Tumut,tumut,tumut
643,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,597.919463,0.005678085,"Tumut ",Lower Tumut (West),tumut,tumut
644,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,128793.8904,1.276137493,Lower Tumut,Yass (South East),tumut,yass
645,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,128890.0164,1.277103118,Lower Tumut,Yass,tumut,yass
646,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,109666.1929,1.10104021,Casino Tee,Tenterfield,casino,tenterfield
647,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,136437.1287,1.397869582,Armidale,Coffs Harbour,armidale,coffs harbour
648,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,4,10/07/2012 0:00,80589.21699,0.749412246,Coffs Harbour,Koolkhan,coffs harbour,koolkhan
649,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,3,10/07/2012 0:00,42988.89687,0.398077427,Kempsey,Port Macquarie,kempsey,port macquarie
650,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,984.072053,0.009100519,Casino,Casino Tee,casino,casino
651,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,10424.95476,0.098036464,"Lismore ",Lismore  (East),lismore,lismore
652,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,9929.763379,0.093677169,Lismore,"Lismore ",lismore,lismore
653,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,10018.36027,0.094705429,"Lismore ",Lismore  (West),lismore,lismore
654,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,17005.11529,0.158788291,"Lismore ",Dunoon,lismore,dunoon
655,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,21570.20846,0.208978325,Dunoon,Mullumbimby,dunoon,mullumbimby
656,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,1981.607596,0.019916793,Bendeela,Kangaroo Valley,dee,kangaroo valley
661,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,4,10/07/2012 0:00,3160.654836,0.032267434,Dapto,Tallawarra,dapto,warra
663,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,4,10/07/2012 0:00,31684.87982,0.342194182,Goulburn,Cullerin Range Tee,goulburn,cullerin
669,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,29522.63705,0.276320154,Morisset,Ourimbah,morisset,ourimbah
671,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,64840.5965,0.63292971,Sydney North,Tuggerah,sydney,tuggerah
672,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,7774.280215,0.077782703,Charmhaven,Wyong,charmhaven,wyong
673,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,4,10/07/2012 0:00,5861.368823,0.055502126,Wyong,Tuggerah,wyong,tuggerah
674,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,4,14/12/2016 0:00,15663.25284,0.156110455,Berkeley Vale,Gosford,berkeley vale,gosford
675,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,4,14/12/2016 0:00,5922.083422,0.060303358,Berkeley Vale,Ourimbah,berkeley vale,ourimbah
676,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,1203.410217,0.011251171,Gosford,West Gosford,gosford,west gosford
677,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,3,10/07/2012 0:00,12200.73182,0.119010576,Ourimbah,West Gosford,ourimbah,west gosford
678,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,3,10/07/2012 0:00,8006.689066,0.077200675,Gosford,Sommersby,gosford,somme
679,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,34629.16982,0.334733684,Sommersby,Mount Colah Tee,somme,mount colah
680,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,23987.28997,0.242335157,Sydney East,Sydney North (North East),sydney,sydney
681,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,12648.14101,0.125427862,Sydney East,Mount Colah Tee,sydney,mount colah
682,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,22767.23877,0.230402515,Sydney East,Sydney North,sydney,sydney
683,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,22026.17934,0.223936753,Sydney East,Sydney North (South),sydney,sydney
684,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,5870.626831,0.058173053,Sydney East,Warringah,sydney,warri
685,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,4613.625142,0.047392617,Warringah,Sydney East,warri,sydney
686,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,3,10/07/2012 0:00,4688.601609,0.04964018,Lane Cove,Meadowbank,lane cove,meadowbank
688,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,15200.34607,0.140997501,Sydney North,Sydney North,sydney,sydney
689,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,500,New South Wales,5,10/07/2012 0:00,141042.4107,1.382541072,Kemps Creek,Eraring,kemps creek,eraring
690,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,19680.57279,0.188784491,Eraring,Newcastle (East),eraring,newcastle
691,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,10/07/2012 0:00,21322.52433,0.207587501,Eraring,Newcastle,eraring,newcastle
695,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,4,10/07/2012 0:00,17462.34177,0.178587617,Newcastle,Waratah,newcastle,waratah
696,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,1/08/2013 0:00,10656.49389,0.109206568,Newcastle,Maryland,newcastle,maryland
697,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,10/07/2012 0:00,18189.37713,0.172649226,Newcastle,Beresfield,newcastle,beresfield
